,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/cityName/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/addressLine1/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/addressLine2/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/addressLine3/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/NationalPostalCode,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/regionName/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/GlobalLocationIdentifier,,1234567890123,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/deliverTo/PhysicalAddress/GlobalCountryCode,,JP,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/comment/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/packListRequirements/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/GlobalShipmentTermsCode,,Return container freight paid by customer,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/RevisionNumber,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/prePaymentCheckNumber/CheckNumber,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/QuoteIdentifier/ProprietaryDocumentIdentifier,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/WireTransferIdentifier,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/GlobalAccountClassificationCode,,Master Card,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/GlobalPartnerRoleClassificationCode,,Customer,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/cityName/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/addressLine1/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/addressLine2/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/addressLine3/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/NationalPostalCode,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/regionName/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/postOfficeBoxIdentifier/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/GlobalLocationIdentifier,,1234567890123,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/billTo/PartnerRoleDescription/ContactInformation/PhysicalAddress/GlobalCountryCode,,JP,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/accountName/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/ProprietaryCIDIdentifier,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/expiryDate/DateStamp,,20101231Z,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/AccountDescription/AccountNumber,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/generalServicesAdministrationNumber/ProprietaryDocumentIdentifier,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyerPurchaseOrderIdentifier/ProprietaryDocumentIdentifier,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/GlobalFinanceTermsCode,,Prepay credit card,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/GlobalPartnerRoleClassificationCode,,Product Trader,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/cityName/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/addressLine1/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/addressLine2/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/addressLine3/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/NationalPostalCode,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/regionName/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/postOfficeBoxIdentifier/FreeFormText,,N/A,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/GlobalLocationIdentifier,,1234567890123,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/PhysicalAddress/GlobalCountryCode,,JP,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/ContactInformation/EmailAddress,,bbb@bbb.jp,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/secondaryBuyer/PartnerRoleDescription/PartnerDescription/BusinessDescription/GlobalBusinessIdentifier,,123456789,
,,,Pip3A4PurchaseOrderRequest/PurchaseOrder/GlobalPurchaseOrderTypeCode,,Packaged product,
,,,Pip3A4PurchaseOrderRequest/fromRole/PartnerRoleDescription/GlobalPartnerRoleClassificationCode,,Buyer,
,,,Pip3A4PurchaseOrderRequest/fromRole/PartnerRoleDescription/ContactInformation/EmailAddress,,aaa@aaa.jp,
,,,Pip3A4PurchaseOrderRequest/fromRole/PartnerRoleDescription/ContactInformation/contactName/FreeFormText,,Mr. xxx,
,,,Pip3A4PurchaseOrderRequest/fromRole/PartnerRoleDescription/ContactInformation/telephoneNumber/CommunicationsNumber,,03-1234-5678,
,,,Pip3A4PurchaseOrderRequest/fromRole/PartnerRoleDescription/PartnerDescription/GlobalPartnerClassificationCode,,???,MyInfo.Class
