,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/ContactInformation/contactName/FreeFormText,,Mr. xxx,
,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/ContactInformation/EmailAddress,,xxx@nec.co.jp,
,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/ContactInformation/facsimileNumber/CommunicationsNumber,,03-3333-5555,
,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/ContactInformation/telephoneNumber/CommunicationsNumber,,03-3333-4444,
,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/GlobalPartnerRoleClassificationCode,,Invoice Provider,
,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/PartnerDescription/BusinessDescription/GlobalBusinessIdentifier,,???,MyId
,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/PartnerDescription/BusinessDescription/GlobalSupplyChainCode,,Information Technology,
,,,Pip3C3InvoiceNotification/fromRole/PartnerRoleDescription/PartnerDescription/GlobalPartnerClassificationCode,,Manufacturer,
,,,Pip3C3InvoiceNotification/GlobalDocumentFunctionCode,,Request,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/ContactInformation/contactName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/ContactInformation/EmailAddress,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/ContactInformation/facsimileNumber/CommunicationsNumber,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/ContactInformation/telephoneNumber/CommunicationsNumber,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/GlobalPartnerRoleClassificationCode,,Invoice Provider,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/BusinessDescription/GlobalBusinessIdentifier,,999999999,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/BusinessDescription/GlobalSupplyChainCode,,Information Technology,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/BusinessDescription/businessName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/GlobalPartnerClassificationCode,,End User,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/GlobalLocationIdentifier,,1234567890123,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/addressLine1/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/addressLine2/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/addressLine3/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/cityName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/GlobalCountryCode,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/NationalPostalCode,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/regionName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/billTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/postOfficeBoxIdentifier/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/FinancialAmount/GlobalCurrencyCode,,JPY,
,,,Pip3C3InvoiceNotification/Invoice/FinancialAmount/GlobalMonetaryAmountTypeCode,,Credit,
,,,Pip3C3InvoiceNotification/Invoice/FinancialAmount/MonetaryAmount,,1,
,,,Pip3C3InvoiceNotification/Invoice/Financing/approvalIdentifier/ProprietaryReferenceIdentifier,,NA,
,,,Pip3C3InvoiceNotification/Invoice/Financing/financingPlanIdentifier/ProprietaryReferenceIdentifier,,NA,
,,,Pip3C3InvoiceNotification/Invoice/GlobalDocumentTypeCode,,Invoice,
,,,Pip3C3InvoiceNotification/Invoice/GlobalPaymentTermsCode,,Master Card,
,,,Pip3C3InvoiceNotification/Invoice/isLockBoxUsed/AffirmationIndicator,,NA,
,,,Pip3C3InvoiceNotification/Invoice/isRebill/AffirmationIndicator,,NA,
,,,Pip3C3InvoiceNotification/Invoice/originalInvoiceNumber/ProprietaryDocumentIdentifier,,NA,
,,,Pip3C3InvoiceNotification/Invoice/purchaseOrderNumber/ProprietaryDocumentIdentifier,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/ContactInformation/contactName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/ContactInformation/EmailAddress,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/ContactInformation/facsimileNumber/CommunicationsNumber,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/ContactInformation/telephoneNumber/CommunicationsNumber,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/GlobalPartnerRoleClassificationCode,,Invoice Provider,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/BusinessDescription/GlobalBusinessIdentifier,,999999999,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/BusinessDescription/GlobalSupplyChainCode,,Information Technology,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/BusinessDescription/businessName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/GlobalPartnerClassificationCode,,End User,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/GlobalLocationIdentifier,,1234567890123,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/addressLine1/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/addressLine2/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/addressLine3/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/cityName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/GlobalCountryCode,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/NationalPostalCode,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/regionName/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitTo/PartnerRoleDescription/PartnerDescription/PhysicalAddress/postOfficeBoxIdentifier/FreeFormText,,NA,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/CityTax/cityName/FreeFormText,,N/A,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/CityTax/FinancialAmount/GlobalCurrencyCode,,JPY,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/CityTax/FinancialAmount/GlobalMonetaryAmountTypeCode,,Credit,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/CityTax/FinancialAmount/MonetaryAmount,,1,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/CityTax/taxRate/PercentAmount,,0,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/RegionalTax/FinancialAmount/GlobalCurrencyCode,,JPY,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/RegionalTax/FinancialAmount/GlobalMonetaryAmountTypeCode,,Credit,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/RegionalTax/FinancialAmount/MonetaryAmount,,1,
,,,Pip3C3InvoiceNotification/Invoice/remitToTax/TaxSummary/RegionalTax/RegionalBusinessTaxIdentifier/BusinessTaxIdentifier,,N/A,
